,Filename,New Labels,Tobacco Label
0,0000008957.jpg,['Report'],Memo
1,0000015571.jpg,['Memo'],Memo
2,0000022175.jpg,['Memo'],Memo
3,0000029906.jpg,['Memo'],Memo
4,0000043910.jpg,['Memo'],Memo
5,0000045457.jpg,['Memo'],Memo
6,0000059503.jpg,['Memo'],Memo
7,0000065944.jpg,['Memo'],Memo
8,0000067671.jpg,['Memo'],Memo
9,00000725.jpg,['Memo'],Memo
10,0000073229.jpg,"['Memo', 'Report']",Memo
11,00000831.jpg,['Letter'],Letter
12,0000083559.jpg,"['Memo', 'Report']",Memo
13,0000104448.jpg,['Memo'],Memo
14,0000108319.jpg,"['Memo', 'Report']",Memo
15,0000118560.jpg,['Memo'],Memo
16,0000124690.jpg,['Memo'],Memo
17,0000131535.jpg,['Memo'],Memo
18,0000135087.jpg,['Memo'],Memo
19,0000141695.jpg,"['Memo', 'Report']",Memo
20,0000146507.jpg,['Memo'],Memo
21,0000146942.jpg,['Memo'],Memo
22,0000153377.jpg,['Resume'],Resume
23,0000159555.jpg,"['Memo', 'Report']",Memo
24,0000168771.jpg,"['Memo', 'Report']",Memo
25,0000169583.jpg,"['Memo', 'Report']",Memo
26,0000170925.jpg,['Memo'],Memo
27,0000193526.jpg,"['Memo', 'Report']",Memo
28,0000208865.jpg,"['Report', 'Memo']",Memo
29,0000211869.jpg,"['Memo', 'Report']",Memo
30,0000229184.jpg,"['Memo', 'Report']",Memo
31,0000237100.jpg,['Memo'],Memo
32,0000237399.jpg,['Memo'],Memo
33,0000249984.jpg,"['Memo', 'Report']",Memo
34,0000262962.jpg,['Memo'],Memo
35,0000264417.jpg,['Memo'],Memo
36,0000296750.jpg,['Memo'],Memo
37,0000328495.jpg,['Memo'],Memo
38,0000347162.jpg,['Memo'],Memo
39,0000384019.jpg,"['Memo', 'Report']",Memo
40,0000386602.jpg,['Memo'],Memo
41,0000391492.jpg,"['Memo', 'Report']",Memo
42,0000393586.jpg,"['Memo', 'Report']",Memo
43,0000408323.jpg,['Memo'],Memo
44,0000456149.jpg,"['Report', 'Memo']",Memo
45,0000474595.jpg,['Memo'],Memo
46,0000488853.jpg,['Memo'],Memo
47,0000547826.jpg,['Memo'],Memo
48,0000554052.jpg,"['Memo', 'Report']",Memo
49,00005729.jpg,['Memo'],Memo
50,0000628923.jpg,['Memo'],Note
51,0000936338.jpg,['Memo'],Memo
52,0000958516.jpg,['Report'],Report
53,0000972342.jpg,"['Memo', 'Report']",Report
54,0001166781.jpg,['Report'],Report
55,0001251167.jpg,"['Report', 'Scientific']",Report
56,0001414986.jpg,"['Report', 'Scientific']",Report
57,00104455_00104456.jpg,"['Memo', 'Report']",Memo
58,00119510.jpg,"['Memo', 'Report']",Memo
59,0011987564.jpg,['Report'],Report
60,0013005994.jpg,"['Memo', 'Report']",Memo
61,0013140948.jpg,['Memo'],Memo
62,0013165452.jpg,"['Report', 'Scientific']",Scientific
63,00137810_00137811.jpg,['Memo'],Memo
64,00275226_00275227.jpg,['Memo'],Memo
65,00377005.jpg,"['Report', 'Memo']",Memo
66,00450130.jpg,"['Memo', 'Report']",Memo
67,01046565.jpg,"['Memo', 'Report']",Memo
68,01138186a.jpg,['News'],News
69,01142172_01142173.jpg,"['Report', 'Scientific']",Scientific
70,01190197_01190199.jpg,"['Report', 'Scientific']",Scientific
71,01193262_01193288.jpg,"['Report', 'Scientific']",Scientific
72,01247680.jpg,['Memo'],Memo
73,01329196.jpg,['Memo'],Memo
74,01329768.jpg,['Memo'],Memo
75,01337755.jpg,['Memo'],Memo
76,01390279.jpg,['Memo'],Memo
77,01586188.jpg,['Memo'],Memo
78,01591430.jpg,"['Memo', 'Report']",Memo
79,01777521.jpg,['Memo'],Memo
80,03000416_03000417.jpg,['Memo'],Memo
81,03016778.jpg,['Note'],Note
82,03335936.jpg,['Memo'],Memo
83,03364017_03364022.jpg,"['Memo', 'Report']",Memo
84,03370692_0695.jpg,"['Memo', 'Report']",Memo
85,03523378.jpg,['Memo'],Memo
86,03551612.jpg,['Memo'],Memo
87,03615288_03615289.jpg,['Memo'],Memo
88,03654458_03654459.jpg,['Memo'],Memo
89,03683731.jpg,['Memo'],Memo
90,03726299_03726300.jpg,['Memo'],Memo
91,03854099.jpg,['Memo'],Memo
92,04004176.jpg,['Memo'],Memo
93,04101854.jpg,['Memo'],Memo
94,04107922_04107926.jpg,['Memo'],Memo
95,04145740.jpg,"['Memo', 'Report']",Memo
96,04146448_6449.jpg,['Memo'],Memo
97,04242498_04242510.jpg,"['Memo', 'Report']",Memo
98,04366602_04366604.jpg,['Memo'],Memo
99,04405847_04405848.jpg,"['Memo', 'Report']",Memo
100,1000027365.jpg,"['Report', 'Scientific']",Scientific
101,1000251492.jpg,['Memo'],Memo
102,1000300824.jpg,['Memo'],Memo
103,10005191.jpg,['Letter'],Letter
104,1000767360.jpg,['Memo'],Memo
105,1000767446.jpg,"['Memo', 'Report']",Memo
106,1000775306.jpg,"['Memo', 'Report']",Memo
107,1000790663.jpg,"['Memo', 'Report']",Memo
108,1000798221.jpg,"['Memo', 'Report']",Memo
109,1000799097.jpg,"['Memo', 'Report']",Memo
110,1000816599.jpg,['Memo'],Memo
111,1000827761.jpg,[],Scientific
112,1000843369_1000843370.jpg,"['Memo', 'Report']",Memo
113,1000874341_1000874344.jpg,['Memo'],Memo
114,10009243.jpg,"['Scientific', 'Report']",Scientific
115,1001402342.jpg,"['Memo', 'Report', 'Scientific']",Scientific
116,1001402452_2454.jpg,"['Report', 'Scientific']",Scientific
117,1001511267.jpg,"['Report', 'Scientific']",Scientific
118,10017556_10017561.jpg,"['Report', 'Scientific']",Scientific
119,1001767165.jpg,['Memo'],Memo
120,1001809385_1001809386.jpg,['Memo'],Memo
121,1001823466.jpg,"['Memo', 'Report']",Memo
122,1001850798.jpg,['Memo'],Memo
123,1001854313.jpg,['Memo'],Memo
124,1001854931.jpg,['Memo'],Memo
125,1001857064_1001857068.jpg,"['Memo', 'Report']",Memo
126,1001858525_1001858526.jpg,"['Memo', 'Report']",Memo
127,1001861874.jpg,['Memo'],Memo
128,1001866123_1001866124.jpg,['Memo'],Memo
